Participant	QN	Neologism	Condition	Figure	Regularity	Pattern	Score	Unknown	Age
Suj01	11Q01	mentor	1	Metaphor	Low	P11	5	NA	22
Suj01	11Q02	croupier	1	Metaphor	Low	P11	5	NA	22
Suj01	11Q03	vigile	1	Metaphor	Low	P11	3	NA	22
Suj01	11Q04	barman	1	Metaphor	Low	P11	2	NA	22
Suj01	11Q05	pompier	1	Metaphor	Low	P11	7	NA	22
Suj01	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	22
Suj01	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	22
Suj01	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	22
Suj01	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	22
Suj01	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	22
Suj01	12Q01	pistache	1	Metaphor	Low	P12	7	NA	22
Suj01	12Q02	orange	1	Metaphor	Low	P12	3	NA	22
Suj01	12Q03	cacahuete	1	Metaphor	Low	P12	6	NA	22
Suj01	12Q04	abricot	1	Metaphor	Low	P12	2	NA	22
Suj01	12Q05	olive	1	Metaphor	Low	P12	6	NA	22
Suj01	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	22
Suj01	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	22
Suj01	12Q08	datte	1	Metaphor	Low	P12	NA	NA	22
Suj01	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	22
Suj01	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	22
Suj01	13Q01	chrysalide	1	Metaphor	Low	P13	2	NA	22
Suj01	13Q02	sapin	1	Metaphor	Low	P13	3	NA	22
Suj01	13Q03	colline	1	Metaphor	Low	P13	3	NA	22
Suj01	13Q04	grotte	1	Metaphor	Low	P13	2	NA	22
Suj01	13Q05	cratere	1	Metaphor	Low	P13	1	NA	22
Suj01	13Q06	dune	1	Metaphor	Low	P13	NA	NA	22
Suj01	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	22
Suj01	13Q08	eboulis	1	Metaphor	Low	P13	NA	NA	22
Suj01	13Q09	banquise	1	Metaphor	Low	P13	NA	NA	22
Suj01	13Q10	fougere	1	Metaphor	Low	P13	NA	NA	22
Suj01	21Q01	brise	2	Metaphor	High	P21	7	NA	22
Suj01	21Q02	bruine	2	Metaphor	High	P21	6	NA	22
Suj01	21Q03	typhon	2	Metaphor	High	P21	6	NA	22
Suj01	21Q04	bourrasque	2	Metaphor	High	P21	6	NA	22
Suj01	21Q05	cyclone	2	Metaphor	High	P21	7	NA	22
Suj01	21Q06	seisme	2	Metaphor	High	P21	NA	NA	22
Suj01	21Q07	orage	2	Metaphor	High	P21	NA	NA	22
Suj01	21Q08	crachin	2	Metaphor	High	P21	NA	NA	22
Suj01	21Q09	mistral	2	Metaphor	High	P21	NA	NA	22
Suj01	21Q10	blizzard	2	Metaphor	High	P21	NA	NA	22
Suj01	22Q01	estomac	2	Metaphor	High	P22	6	NA	22
Suj01	22Q02	moustache	2	Metaphor	High	P22	2	NA	22
Suj01	22Q03	trachee	2	Metaphor	High	P22	6	NA	22
Suj01	22Q04	tempe	2	Metaphor	High	P22	6	NA	22
Suj01	22Q05	genou	2	Metaphor	High	P22	5	NA	22
Suj01	22Q06	thorax	2	Metaphor	High	P22	NA	NA	22
Suj01	22Q07	orteil	2	Metaphor	High	P22	NA	NA	22
Suj01	22Q08	cheveu	2	Metaphor	High	P22	NA	NA	22
Suj01	22Q09	epaule	2	Metaphor	High	P22	NA	NA	22
Suj01	22Q10	paupiere	2	Metaphor	High	P22	NA	NA	22
Suj01	23Q01	insalubrite	2	Metaphor	High	P23	7	NA	22
Suj01	23Q02	obesite	2	Metaphor	High	P23	6	NA	22
Suj01	23Q03	etancheite	2	Metaphor	High	P23	7	NA	22
Suj01	23Q04	compressibilite	2	Metaphor	High	P23	3	NA	22
Suj01	23Q05	absorptivite	2	Metaphor	High	P23	3	NA	22
Suj01	23Q06	fluorescence	2	Metaphor	High	P23	NA	NA	22
Suj01	23Q07	corpulence	2	Metaphor	High	P23	NA	NA	22
Suj01	23Q08	sveltesse	2	Metaphor	High	P23	NA	NA	22
Suj01	23Q09	humidite	2	Metaphor	High	P23	NA	NA	22
Suj01	23Q10	adherence	2	Metaphor	High	P23	NA	NA	22
Suj01	31Q01	chevalet	3	Metonymy	Low	P31	2	NA	22
Suj01	31Q02	babyfoot	3	Metonymy	Low	P31	5	NA	22
Suj01	31Q03	chaudiere	3	Metonymy	Low	P31	5	NA	22
Suj01	31Q04	parcmetre	3	Metonymy	Low	P31	5	NA	22
Suj01	31Q05	piano	3	Metonymy	Low	P31	2	NA	22
Suj01	31Q06	microondes	3	Metonymy	Low	P31	NA	NA	22
Suj01	31Q07	enclume	3	Metonymy	Low	P31	NA	NA	22
Suj01	31Q08	photocopieuse	3	Metonymy	Low	P31	NA	NA	22
Suj01	31Q09	alambic	3	Metonymy	Low	P31	NA	NA	22
Suj01	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	22
Suj01	32Q01	jambe	3	Metonymy	Low	P32	6	NA	22
Suj01	32Q02	dos	3	Metonymy	Low	P32	1	NA	22
Suj01	32Q03	doigt	3	Metonymy	Low	P32	6	NA	22
Suj01	32Q04	cuisse	3	Metonymy	Low	P32	1	NA	22
Suj01	32Q05	poignet	3	Metonymy	Low	P32	6	NA	22
Suj01	32Q06	poing	3	Metonymy	Low	P32	NA	NA	22
Suj01	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	22
Suj01	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	22
Suj01	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	22
Suj01	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	22
Suj01	33Q01	savoir	3	Metonymy	Low	P33	1	NA	22
Suj01	33Q02	laicite	3	Metonymy	Low	P33	2	NA	22
Suj01	33Q03	elegance	3	Metonymy	Low	P33	7	NA	22
Suj01	33Q04	generosite	3	Metonymy	Low	P33	6	NA	22
Suj01	33Q05	spiritualite	3	Metonymy	Low	P33	1	NA	22
Suj01	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	22
Suj01	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	22
Suj01	33Q08	humour	3	Metonymy	Low	P33	NA	NA	22
Suj01	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	22
Suj01	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	22
Suj01	41Q01	ablation	4	Metonymy	High	P41	4	NA	22
Suj01	41Q02	reparation	4	Metonymy	High	P41	5	NA	22
Suj01	41Q03	glanage	4	Metonymy	High	P41	2	NA	22
Suj01	41Q04	racket	4	Metonymy	High	P41	5	NA	22
Suj01	41Q05	bouclage	4	Metonymy	High	P41	4	NA	22
Suj01	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	22
Suj01	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	22
Suj01	41Q08	broyage	4	Metonymy	High	P41	NA	NA	22
Suj01	41Q09	largage	4	Metonymy	High	P41	NA	NA	22
Suj01	41Q10	verification	4	Metonymy	High	P41	NA	NA	22
Suj01	42Q01	paternalisme	4	Metonymy	High	P42	6	NA	22
Suj01	42Q02	serviabilite	4	Metonymy	High	P42	6	NA	22
Suj01	42Q03	sincerite	4	Metonymy	High	P42	4	NA	22
Suj01	42Q04	clemence	4	Metonymy	High	P42	7	NA	22
Suj01	42Q05	bienveillance	4	Metonymy	High	P42	5	NA	22
Suj01	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	22
Suj01	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	22
Suj01	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	22
Suj01	42Q09	docilite	4	Metonymy	High	P42	NA	NA	22
Suj01	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	22
Suj01	43Q01	safran	4	Metonymy	High	P43	4	NA	22
Suj01	43Q02	vinaigre	4	Metonymy	High	P43	7	NA	22
Suj01	43Q03	levure	4	Metonymy	High	P43	7	NA	22
Suj01	43Q04	moutarde	4	Metonymy	High	P43	2	NA	22
Suj01	43Q05	vanille	4	Metonymy	High	P43	5	NA	22
Suj01	43Q06	lait	4	Metonymy	High	P43	NA	NA	22
Suj01	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	22
Suj01	43Q08	sel	4	Metonymy	High	P43	NA	NA	22
Suj01	43Q09	beurre	4	Metonymy	High	P43	NA	NA	22
Suj01	43Q10	huile	4	Metonymy	High	P43	NA	NA	22
Suj02	11Q01	mentor	1	Metaphor	Low	P11	2	NA	20
Suj02	11Q02	croupier	1	Metaphor	Low	P11	4	NA	20
Suj02	11Q03	vigile	1	Metaphor	Low	P11	2	NA	20
Suj02	11Q04	barman	1	Metaphor	Low	P11	2	NA	20
Suj02	11Q05	pompier	1	Metaphor	Low	P11	2	NA	20
Suj02	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	20
Suj02	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	20
Suj02	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	20
Suj02	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	20
Suj02	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	20
Suj02	12Q01	pistache	1	Metaphor	Low	P12	5	NA	20
Suj02	12Q02	orange	1	Metaphor	Low	P12	3	NA	20
Suj02	12Q03	cacahuete	1	Metaphor	Low	P12	4	NA	20
Suj02	12Q04	abricot	1	Metaphor	Low	P12	1	NA	20
Suj02	12Q05	olive	1	Metaphor	Low	P12	4	NA	20
Suj02	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	20
Suj02	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	20
Suj02	12Q08	datte	1	Metaphor	Low	P12	NA	NA	20
Suj02	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	20
Suj02	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	20
Suj02	13Q01	chrysalide	1	Metaphor	Low	P13	2	NA	20
Suj02	13Q02	sapin	1	Metaphor	Low	P13	4	NA	20
Suj02	13Q03	colline	1	Metaphor	Low	P13	1	NA	20
Suj02	13Q04	grotte	1	Metaphor	Low	P13	2	NA	20
Suj02	13Q05	cratere	1	Metaphor	Low	P13	2	NA	20
Suj02	13Q06	dune	1	Metaphor	Low	P13	NA	NA	20
Suj02	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	20
Suj02	13Q08	eboulis	1	Metaphor	Low	P13	NA	NA	20
Suj02	13Q09	banquise	1	Metaphor	Low	P13	NA	NA	20
Suj02	13Q10	fougere	1	Metaphor	Low	P13	NA	NA	20
Suj02	21Q01	brise	2	Metaphor	High	P21	4	NA	20
Suj02	21Q02	bruine	2	Metaphor	High	P21	2	NA	20
Suj02	21Q03	typhon	2	Metaphor	High	P21	3	NA	20
Suj02	21Q04	bourrasque	2	Metaphor	High	P21	4	NA	20
Suj02	21Q05	cyclone	2	Metaphor	High	P21	4	NA	20
Suj02	21Q06	seisme	2	Metaphor	High	P21	NA	NA	20
Suj02	21Q07	orage	2	Metaphor	High	P21	NA	NA	20
Suj02	21Q08	crachin	2	Metaphor	High	P21	NA	NA	20
Suj02	21Q09	mistral	2	Metaphor	High	P21	NA	NA	20
Suj02	21Q10	blizzard	2	Metaphor	High	P21	NA	NA	20
Suj02	22Q01	estomac	2	Metaphor	High	P22	1	NA	20
Suj02	22Q02	moustache	2	Metaphor	High	P22	2	NA	20
Suj02	22Q03	trachee	2	Metaphor	High	P22	3	NA	20
Suj02	22Q04	tempe	2	Metaphor	High	P22	6	NA	20
Suj02	22Q05	genou	2	Metaphor	High	P22	4	NA	20
Suj02	22Q06	thorax	2	Metaphor	High	P22	NA	NA	20
Suj02	22Q07	orteil	2	Metaphor	High	P22	NA	NA	20
Suj02	22Q08	cheveu	2	Metaphor	High	P22	NA	NA	20
Suj02	22Q09	epaule	2	Metaphor	High	P22	NA	NA	20
Suj02	22Q10	paupiere	2	Metaphor	High	P22	NA	NA	20
Suj02	23Q01	insalubrite	2	Metaphor	High	P23	5	NA	20
Suj02	23Q02	obesite	2	Metaphor	High	P23	1	NA	20
Suj02	23Q03	etancheite	2	Metaphor	High	P23	5	NA	20
Suj02	23Q04	compressibilite	2	Metaphor	High	P23	1	NA	20
Suj02	23Q05	absorptivite	2	Metaphor	High	P23	3	NA	20
Suj02	23Q06	fluorescence	2	Metaphor	High	P23	NA	NA	20
Suj02	23Q07	corpulence	2	Metaphor	High	P23	NA	NA	20
Suj02	23Q08	sveltesse	2	Metaphor	High	P23	NA	NA	20
Suj02	23Q09	humidite	2	Metaphor	High	P23	NA	NA	20
Suj02	23Q10	adherence	2	Metaphor	High	P23	NA	NA	20
Suj02	31Q01	chevalet	3	Metonymy	Low	P31	2	NA	20
Suj02	31Q02	babyfoot	3	Metonymy	Low	P31	2	NA	20
Suj02	31Q03	chaudiere	3	Metonymy	Low	P31	7	NA	20
Suj02	31Q04	parcmetre	3	Metonymy	Low	P31	2	NA	20
Suj02	31Q05	piano	3	Metonymy	Low	P31	2	NA	20
Suj02	31Q06	microondes	3	Metonymy	Low	P31	NA	NA	20
Suj02	31Q07	enclume	3	Metonymy	Low	P31	NA	NA	20
Suj02	31Q08	photocopieuse	3	Metonymy	Low	P31	NA	NA	20
Suj02	31Q09	alambic	3	Metonymy	Low	P31	NA	NA	20
Suj02	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	20
Suj02	32Q01	jambe	3	Metonymy	Low	P32	2	NA	20
Suj02	32Q02	dos	3	Metonymy	Low	P32	2	NA	20
Suj02	32Q03	doigt	3	Metonymy	Low	P32	2	NA	20
Suj02	32Q04	cuisse	3	Metonymy	Low	P32	1	NA	20
Suj02	32Q05	poignet	3	Metonymy	Low	P32	2	NA	20
Suj02	32Q06	poing	3	Metonymy	Low	P32	NA	NA	20
Suj02	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	20
Suj02	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	20
Suj02	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	20
Suj02	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	20
Suj02	33Q01	savoir	3	Metonymy	Low	P33	3	NA	20
Suj02	33Q02	laicite	3	Metonymy	Low	P33	4	NA	20
Suj02	33Q03	elegance	3	Metonymy	Low	P33	2	NA	20
Suj02	33Q04	generosite	3	Metonymy	Low	P33	2	NA	20
Suj02	33Q05	spiritualite	3	Metonymy	Low	P33	3	NA	20
Suj02	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	20
Suj02	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	20
Suj02	33Q08	humour	3	Metonymy	Low	P33	NA	NA	20
Suj02	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	20
Suj02	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	20
Suj02	41Q01	ablation	4	Metonymy	High	P41	3	NA	20
Suj02	41Q02	reparation	4	Metonymy	High	P41	4	NA	20
Suj02	41Q03	glanage	4	Metonymy	High	P41	4	NA	20
Suj02	41Q04	racket	4	Metonymy	High	P41	6	NA	20
Suj02	41Q05	bouclage	4	Metonymy	High	P41	2	NA	20
Suj02	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	20
Suj02	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	20
Suj02	41Q08	broyage	4	Metonymy	High	P41	NA	NA	20
Suj02	41Q09	largage	4	Metonymy	High	P41	NA	NA	20
Suj02	41Q10	verification	4	Metonymy	High	P41	NA	NA	20
Suj02	42Q01	paternalisme	4	Metonymy	High	P42	5	NA	20
Suj02	42Q02	serviabilite	4	Metonymy	High	P42	5	NA	20
Suj02	42Q03	sincerite	4	Metonymy	High	P42	4	NA	20
